,Table Number,vendor,confirmed_neighbors,neighbor_success_rate,distance_penalty,best_fitness,VEND_NUMB,N_ONE,ONE_IS_CARER,ONE_SHARE_CARD_READER,N_TWO,TWO_IS_CARER,TWO_SHARE_CARD_READER,N_THREE,THREE_IS_CARER,THREE_SHARE_CARD_READER,DISTANCE_ONE,DISTANCE_TWO,DISTANCE_THREE,neighbour_one_confirmed,neighbour_two_confirmed,neighbour_three_confirmed,DISTANCE_ONE_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_ONE,DISTANCE_TWO_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_TWO,DISTANCE_THREE_TABLE_LOCATION,TABLE_DISTANCE_DIFFERENCE_THREE
0,1,Vendor172,"[0, 0, 0]",,,80.08618851834932,Vendor172,,,,,,,,,,,,,0,0,0,,0,,0,,0
1,2,Vendor26,"[0, 0, 0]",,,80.08618851834932,Vendor26,,,,,,,,,,,,,0,0,0,,0,,0,,0
2,3,Vendor101,"[0, 0, 0]",,,80.08618851834932,Vendor101,,,,,,,,,,,,,0,0,0,,0,,0,,0
3,4,Vendor132,"[1, 0, 0]",72.0,0.0,80.08618851834932,Vendor132,Vendor131,Y,Y,Vendor133,Y,Y,,,,,,,1,0,0,,0,,0,,0
4,5,Vendor131,"[1, 1, 0]",144.0,0.0,80.08618851834932,Vendor131,Vendor132,Y,Y,Vendor133,Y,Y,,,,,,,1,1,0,,0,,0,,0
5,6,Vendor133,"[1, 0, 0]",60.0,0.0,80.08618851834932,Vendor133,Vendor131,Y,Y,Vendor132,Y,Y,Vendor134,N,Y,,,,1,0,0,,0,,0,,0
6,7,Vendor20,"[0, 0, 0]",,,80.08618851834932,Vendor20,,,,,,,,,,,,,0,0,0,,0,,0,,0
7,8,Vendor150,"[0, 0, 0]",,,80.08618851834932,Vendor150,,,,,,,,,,,,,0,0,0,,0,,0,,0
8,9,Vendor14,"[1, 0, 0]",100.0,0.20100502512562815,80.08618851834932,Vendor14,Vendor11,N,N,,,,,,,Vendor12,,,1,0,0,89.0,80,,0,,0
9,10,Vendor11,"[1, 0, 0]",100.0,0.4765494137353434,80.08618851834932,Vendor11,Vendor14,N,N,,,,,,,Vendor12,Vendor5,Vendor3,1,0,0,89.0,79,92.0,82,178.0,168
10,11,Vendor82,"[0, 0, 0]",,,80.08618851834932,Vendor82,,,,,,,,,,,,,0,0,0,,0,,0,,0
11,12,Vendor55,"[0, 0, 0]",,,80.08618851834932,Vendor55,,,,,,,,,,,,,0,0,0,,0,,0,,0
12,13,Vendor144,"[0, 0, 0]",,,80.08618851834932,Vendor144,,,,,,,,,,,,,0,0,0,,0,,0,,0
13,14,Vendor124,"[0, 0, 0]",,,80.08618851834932,Vendor124,,,,,,,,,,,,,0,0,0,,0,,0,,0
14,15,Vendor31,"[0, 0, 0]",,,80.08618851834932,Vendor31,,,,,,,,,,,,,0,0,0,,0,,0,,0
